연월별,시군구별,연료별,용도별,승    용,승    합,화    물,특    수,계
2018-12-31,금천구,전기,비사업용,93,0,3,0,96
2018-12-31,금천구,전기,사업용,38,0,0,0,38
2018-12-31,영등포구,전기,비사업용,381,0,0,0,381
2018-12-31,영등포구,전기,사업용,277,0,0,0,277
2018-12-31,동작구,전기,비사업용,150,0,2,0,152
2018-12-31,동작구,전기,사업용,5,0,0,0,5
2018-12-31,관악구,전기,비사업용,147,0,0,0,147
2018-12-31,관악구,전기,사업용,2,0,0,0,2
2018-12-31,서초구,전기,비사업용,588,1,0,0,589
2018-12-31,서초구,전기,사업용,49,0,0,0,49
2018-12-31,강남구,전기,비사업용,459,0,1,0,460
2018-12-31,강남구,전기,사업용,3802,0,0,0,3802
2018-12-31,송파구,전기,비사업용,331,0,6,0,337
2018-12-31,송파구,전기,사업용,6,0,0,0,6
2018-12-31,강동구,전기,비사업용,165,0,0,0,165
2018-12-31,강동구,전기,사업용,10,10,0,0,20
2019-12-31,종로구,전기,비사업용,182,0,4,0,186
2019-12-31,종로구,전기,사업용,3,0,0,0,3
2019-12-31,중 구,전기,비사업용,282,2,4,0,288
2019-12-31,중 구,전기,사업용,48,0,0,0,48
2019-12-31,용산구,전기,비사업용,323,1,0,0,324
2019-12-31,용산구,전기,사업용,1,0,1,0,2
2019-12-31,성동구,전기,비사업용,286,0,5,0,291
2019-12-31,성동구,전기,사업용,287,0,0,0,287
2019-12-31,광진구,전기,비사업용,183,0,0,0,183
2019-12-31,광진구,전기,사업용,8,0,0,0,8
2019-12-31,동대문구,전기,비사업용,179,0,2,0,181
2019-12-31,동대문구,전기,사업용,13,0,1,0,14
2019-12-31,중랑구,전기,비사업용,183,0,0,0,183
2019-12-31,중랑구,전기,사업용,29,0,0,0,29
2019-12-31,성북구,전기,비사업용,243,0,1,0,244
2019-12-31,성북구,전기,사업용,53,37,0,0,90
2019-12-31,강북구,전기,비사업용,123,0,0,0,123
2019-12-31,강북구,전기,사업용,29,0,1,0,30
2019-12-31,도봉구,전기,비사업용,150,0,0,0,150
2019-12-31,도봉구,전기,사업용,51,0,0,0,51
2019-12-31,노원구,전기,비사업용,236,1,0,0,237
2019-12-31,노원구,전기,사업용,26,0,0,0,26
2019-12-31,은평구,전기,비사업용,217,0,0,1,218
2019-12-31,은평구,전기,사업용,42,0,0,0,42
2019-12-31,서대문구,전기,비사업용,191,0,0,0,191
2019-12-31,서대문구,전기,사업용,15,13,0,0,28
2019-12-31,마포구,전기,비사업용,342,0,0,0,342
2019-12-31,마포구,전기,사업용,14,11,0,0,25
2019-12-31,양천구,전기,비사업용,275,0,1,0,276
2019-12-31,양천구,전기,사업용,38,28,1,0,67
2019-12-31,강서구,전기,비사업용,310,0,0,0,310
2019-12-31,강서구,전기,사업용,114,7,1,0,122
2019-12-31,구로구,전기,비사업용,210,0,1,0,211
2019-12-31,구로구,전기,사업용,55,0,1,0,56
2019-12-31,금천구,전기,비사업용,261,0,6,0,267
2019-12-31,금천구,전기,사업용,62,0,1,0,63
2019-12-31,영등포구,전기,비사업용,472,0,493,0,965
2019-12-31,영등포구,전기,사업용,397,0,0,0,397
2019-12-31,동작구,전기,비사업용,248,0,2,0,250
